x_region,Australia and New Zealand,Central America,Central Asia,Eastern Asia,Eastern Europe,Northern Africa,Northern America,Northern Europe,South-Eastern Asia,South America,Southern Africa,Southern Asia,Southern Europe,Western Asia,Western Europe
Australia and New Zealand,317.121,0.907,0.346,64.352,4.231,0.169,11.188,3.454,23.478,1.686,2.387,8.109,2.512,2.085,5.688
Central America,0.724,310.258,0.271,49.867,5.032,0.172,48.208,1.464,6.502,3.827,1.073,5.914,2.516,1.244,4.501
Central Asia,0.062,0.046,153.949,5.237,14.146,0.016,0.668,0.433,0.511,0.128,0.117,0.61,0.395,0.415,0.724
Eastern Asia,64.515,10.093,13.795,10256.884,112.004,1.789,139.071,28.553,196.944,55.483,53.881,67.575,19.804,31.09,58.277
Eastern Europe,1.365,1.026,8.169,83.748,1602.11,0.818,12.217,11.901,13.271,3.645,3.193,10.116,14.525,11.815,38.984
Northern Africa,0.089,0.165,0.188,5.352,3,68.758,1.985,1.049,1.069,0.577,0.333,1.167,3.384,2.231,3.061
Northern America,12.051,87.664,4.667,519.097,64.5,1.945,5089.068,33.047,98.24,37.465,18.134,100.643,28.06,23.255,57.783
Northern Europe,3.41,1.909,2.396,86.155,62.223,1.135,38.609,506.453,21.865,5.646,5.834,21.938,26.569,11.983,53.892
South-Eastern Asia,11.04,1.856,1.207,229.803,18.789,0.393,23.874,6.501,1123.795,6.852,7.389,34.848,4.767,8.993,12.334
South America,1.837,4.807,0.67,81.615,11.139,0.608,35.216,5.548,11.816,647.12,2.414,10.745,7.337,3.426,11.832
Southern Africa,0.462,0.202,0.127,14.018,1.981,0.051,1.786,1.025,2.653,0.762,272.126,4.854,0.956,1.405,2.212
Southern Asia,6.935,2.929,1.212,121.514,13.516,0.64,18.891,6.931,41.671,6.411,6.5,1896.293,4.567,11.353,13.253
Southern Europe,1.539,3.061,4.247,68.83,48.131,3.599,18.944,16.37,13.179,7.388,4.299,15.742,563.736,14.988,51.603
Western Asia,1.871,1.25,1.853,66.471,34.101,0.659,16.762,10.21,12.989,4.704,3.741,21.833,9.478,773.349,15.329
Western Europe,5.055,4.603,9.759,176.345,132.104,5.814,56.903,45.587,43.313,12.633,13.239,34.917,61.71,25.078,1092.292
